grade_level,school_code,sid,male,race_ethnicity,eco_dis,lep,iep,rdg_ss,math_ss
3,11,236,M,W,0,0,0,1754.543115,1775.449656
3,11,239,M,W,0,0,0,1388.603921,1422.995471
3,4,240,F,B,0,0,0,1524.383775,1548.202455
3,6,245,F,H,0,0,0,1312.637822,1350.552911
3,6,247,F,B,0,0,0,1419.392976,1449.571162
3,6,249,M,W,0,0,0,1733.619231,1754.55381
3,5,251,M,H,0,0,0,1374.485192,1409.901279
3,5,253,M,B,0,0,0,1301.73756,1340.839258
3,3,257,F,W,1,0,0,1638.601974,1660.18285
3,10,260,F,B,1,0,0,1339.733736,1378.628844
3,12,261,F,W,1,0,0,1262.426153,1309.995746
3,4,262,M,W,0,0,0,1496.714478,1523.133777
3,12,266,F,W,0,0,0,1536.188801,1559.198312
3,12,268,F,W,0,0,0,1605.13349,1626.999276
3,5,273,F,H,0,0,0,1460.957188,1491.196974
3,10,275,M,W,0,0,0,1502.080029,1527.924933
4,1,282,F,W,0,0,0,1507.218481,1565.095693
3,12,292,F,W,1,0,0,1452.404261,1482.407334
3,2,296,F,W,1,0,0,1684.124408,1705.292203
4,5,301,F,W,1,0,0,1323.727133,1372.844576
3,3,302,M,D,0,0,0,1228.62519,1275.80956
3,9,305,F,W,0,0,0,1629.968797,1651.648025
3,2,314,M,W,0,0,0,1053.959966,1093.015213
3,12,321,M,W,0,0,0,1053.959966,1093.015213
3,3,327,F,D,1,1,0,1507.519146,1532.813853
3,3,329,F,A,1,0,0,1460.957188,1491.196974
3,12,330,F,W,1,1,0,1524.383775,1548.202455
3,6,337,M,B,0,0,0,1437.395905,1466.93609
3,11,345,M,H,0,0,0,1305.873753,1344.178398
4,11,352,M,W,0,0,0,1814.681169,1864.130731
5,4,359,F,W,0,0,0,1568.87883,1634.046769
4,9,364,F,W,1,0,0,1661.266285,1712.776949
4,6,365,M,H,0,0,1,1380.105444,1432.84327
3,6,370,M,W,1,0,1,1536.188801,1559.198312
3,3,372,M,W,1,0,0,1426.762564,1456.439848
4,5,375,F,W,0,0,0,1469.463241,1526.875727
3,5,388,M,W,0,0,0,1053.959966,1093.015213
4,2,389,F,H,0,0,0,1504.253952,1562.246736
3,1,390,M,W,0,0,0,1033.567127,1071.238153
3,1,393,M,W,0,0,1,1665.44217,1686.757334
4,3,394,M,W,1,0,1,1814.681169,1864.130731
4,2,397,F,W,0,0,0,1380.105444,1432.84327
3,1,401,F,W,0,0,0,1440.982028,1470.592607
4,12,409,M,W,1,0,0,1574.929481,1627.748256
3,3,410,M,B,0,0,0,1744.000258,1764.915627
4,11,412,M,H,1,0,0,1241.820742,1292.461521
3,8,413,M,W,1,0,0,1128.311965,1171.713198
3,3,417,M,W,1,0,0,1309.400547,1347.311041
3,1,418,M,W,0,0,1,1513.042417,1537.814063
3,5,423,M,H,1,0,0,1430.324661,1459.886272
3,5,426,M,W,0,0,0,1423.131498,1453.010332
3,7,431,F,W,0,0,0,1393.270422,1427.245948
3,1,433,F,W,0,0,0,1175.633476,1221.546734
3,5,434,F,H,0,0,0,1323.81134,1363.801378
4,11,435,F,W,0,0,0,1285.783153,1335.610301
3,12,438,F,W,0,0,1,1364.88668,1401.21058
3,9,444,F,W,0,0,0,1160.65918,1205.934296
3,3,446,M,H,0,0,0,1589.739609,1611.42044
3,6,451,M,B,0,0,0,1524.383775,1548.202455
3,7,461,F,W,0,0,0,1430.324661,1459.886272
4,1,465,F,W,1,0,0,1624.669819,1676.603766
4,5,466,M,W,0,0,0,1423.102574,1479.657052
3,9,467,M,W,1,0,0,1301.73756,1340.839258
3,7,469,M,W,0,0,0,1518.660431,1542.939089
3,3,470,F,H,1,0,0,1744.000258,1764.915627
4,5,478,F,A,0,0,1,1552.97616,1605.982343
3,6,480,F,W,0,0,0,1364.88668,1401.21058
3,6,481,F,W,0,0,0,1480.953354,1509.211646
3,6,482,M,H,0,0,0,1092.588077,1133.986372
3,1,485,F,W,0,0,0,1423.131498,1453.010332
3,8,492,F,W,1,0,0,1475.776196,1504.676296
3,3,497,F,W,0,0,0,1440.982028,1470.592607
3,6,498,F,B,1,0,0,1334.435526,1373.827498
4,6,500,F,H,1,0,0,1485.316751,1542.462719
3,12,505,M,W,0,0,0,1542.291659,1564.957853
3,12,506,F,W,0,0,0,1776.116268,1797.038434
3,4,515,M,W,0,0,0,1374.485192,1409.901279
3,9,520,F,W,0,0,0,1575.2329,1596.912697
3,6,524,F,H,0,0,0,1305.873753,1344.178398
3,6,525,M,W,1,0,1,1369.710317,1405.563054
4,5,540,M,W,1,1,0,1814.681169,1864.130731
3,6,543,M,W,0,0,0,1312.637822,1350.552911
3,5,544,M,H,0,0,0,1754.543115,1775.449656
3,1,546,F,W,0,0,0,1388.603921,1422.995471
3,6,548,M,W,0,0,0,1379.219973,1414.242558
4,5,549,F,B,0,0,0,1152.370468,1206.486262
3,12,550,F,W,0,0,0,1216.319659,1263.313052
3,3,559,M,W,1,0,1,1542.291659,1564.957853
3,5,561,M,H,0,0,0,1524.383775,1548.202455
3,8,562,F,W,0,0,0,1334.435526,1373.827498
3,9,563,F,W,0,0,0,1262.426153,1309.995746
3,2,567,F,W,1,0,0,1175.633476,1221.546734
3,3,568,F,W,1,0,1,1548.542197,1570.909836
3,3,576,F,B,0,0,0,1053.959966,1093.015213
3,2,582,F,W,0,0,0,1536.188801,1559.198312
3,7,584,M,W,1,0,0,1397.931496,1431.300839
3,9,586,F,W,0,0,1,1475.776196,1504.676296
3,5,590,M,D,0,0,0,1470.619667,1500.171085
3,12,594,M,W,0,0,0,1597.320359,1619.098199
3,6,599,M,W,1,0,0,1128.311965,1171.713198
3,6,601,F,W,0,0,0,1160.65918,1205.934296
3,12,610,M,W,0,0,0,1744.000258,1764.915627
3,2,612,F,W,0,0,1,1350.036534,1387.894626
3,11,616,F,W,0,0,0,1486.161729,1513.790659
3,7,618,M,W,1,0,1,1437.395905,1466.93609
3,12,625,M,W,0,0,0,1647.391603,1668.878663
3,2,630,F,W,0,0,0,1536.188801,1559.198312
3,5,637,F,B,1,0,0,1452.404261,1482.407334
3,12,640,M,W,0,0,0,1713.340705,1734.342733
4,8,645,F,W,0,0,0,1510.25252,1567.938138
3,3,650,M,W,0,0,0,1568.285767,1590.055692
3,5,652,M,H,0,0,0,1433.856279,1463.376166
4,10,653,F,A,0,0,0,1450.658822,1508.314388
3,4,655,M,W,0,0,0,1189.870514,1236.261059
3,9,657,F,W,0,0,0,1507.519146,1532.813853
3,3,658,F,H,0,1,0,1033.567127,1071.238153
3,10,659,M,W,0,0,0,1379.219973,1414.242558
3,1,660,M,W,1,0,0,1393.270422,1427.245948
3,11,661,M,H,0,0,0,1684.124408,1705.292203
3,5,662,M,W,1,0,0,1613.189589,1635.057259
3,6,663,M,H,0,0,0,1582.380652,1604.029772
3,9,664,F,B,1,0,0,1383.923327,1418.604196
3,3,667,F,W,1,0,0,1415.508509,1446.095776
3,3,671,F,H,0,0,0,1665.44217,1686.757334
3,9,676,M,W,1,0,0,1621.491582,1643.273168
3,4,677,M,W,0,0,0,1305.873753,1344.178398
4,3,685,F,H,1,1,0,1481.533924,1538.432932
4,6,688,F,D,0,0,0,1848.894273,1897.796544
3,8,690,M,W,0,0,0,1723.399542,1744.363186
3,5,691,M,W,0,0,0,1312.637822,1350.552911
3,3,693,F,W,0,0,1,1605.13349,1626.999276
3,4,696,F,W,0,1,0,1407.147787,1438.930109
3,3,698,F,A,0,0,0,1189.870514,1236.261059
3,11,706,F,A,0,0,0,1582.380652,1604.029772
4,9,710,F,W,1,1,0,1473.409457,1530.653639
3,12,713,F,W,1,0,0,1175.633476,1221.546734
3,3,715,F,A,0,0,0,1323.81134,1363.801378
3,6,716,F,H,0,0,0,1502.080029,1527.924933
3,10,718,F,B,0,0,0,1754.543115,1775.449656
3,3,720,M,W,0,0,0,1518.660431,1542.939089
3,7,722,F,W,1,0,0,1160.65918,1205.934296
4,3,725,M,H,0,0,0,1481.533924,1538.432932
4,10,730,M,W,1,0,0,1712.528561,1763.771333
3,1,734,M,W,0,1,0,1448.447718,1478.301667
3,4,737,M,B,0,0,0,1175.633476,1221.546734
3,3,741,F,D,0,0,1,1262.426153,1309.995746
3,3,747,F,H,0,0,0,1160.65918,1205.934296
4,6,751,F,B,1,0,1,1380.105444,1432.84327
3,3,753,F,W,0,0,1,1309.400547,1347.311041
3,1,757,M,W,1,0,0,1364.88668,1401.21058
3,6,761,M,H,1,0,1,1684.124408,1705.292203
3,11,766,M,W,1,0,0,1329.027886,1368.890777
4,3,773,M,W,1,0,0,1558.328741,1611.318198
3,3,777,F,H,1,0,0,1360.005615,1396.826554
3,12,782,M,W,0,0,0,1713.340705,1734.342733
3,3,783,M,B,0,0,0,1433.856279,1463.376166
4,6,788,M,W,1,0,0,1751.128312,1801.708944
3,10,791,F,W,0,0,0,1647.391603,1668.878663
3,3,794,M,H,0,0,0,1465.630547,1495.682486
3,6,797,M,B,1,0,1,1460.957188,1491.196974
